id,loan_amount,country_name,status,time_to_raise,num_lenders_total,
212763,1250,Azerbaijan,funded,193075,38,
76281,500,El Salvador,funded,1157108,18,
444097,1450,Bolivia,funded,1552939,51,
402224,200,Paraguay,funded,244945,3,
634949,700,El Salvador,funded,238797,21,
1383386,100,Philippines,funded,1248909,1,
351,250,Philippines,funded,773599,10,
35651,225,Nicaragua,funded,116181,8,
784253,1200,Guatemala,funded,2288095,42,
1328839,150,Philippines,funded,51668,1,
1094905,600,Paraguay,funded,26717,18,
336986,300,Philippines,funded,48030,6,
163170,700,Bolivia,funded,24078,28,
1323915,125,Philippines,funded,71117,5,
528261,650,Philippines,funded,580401,16,
495978,175,Madagascar,funded,800427,7,
1251510,1800,Georgia,funded,1156218,54,
642684,1525,Uganda,funded,1166045,1,
974324,575,Kenya,funded,2924705,18,
7487,700,Tajikistan,funded,470622,22,
957,1450,Jordan,funded,3046687,36,
647494,400,Kenya,funded,260044,12,
706941,200,Philippines,funded,445938,8,
889708,1000,Ecuador,funded,201408,24,
882568,350,Kenya,funded,2370450,8,
